Group,Code,Title,Description,요구사항 코드,비고
공통,COM_001,일별 데이터 조회,"일자별 데이터 조회 (일자, 월, 연, 사용자 지정 기간, 전체기간 조회)",,
,COM_002,시간대별 데이터 조회,특정일 조회 시 시간대별 데이터 조회,,
,COM_003,공통 수치·0값·반올림·표현 규칙,모든 수치 데이터에 대해 동일한 계산·반올림·0값·표현 규칙을 적용,,
,COM_004,데이터 업데이트 주기,"1분 이내로 목표. 
- HW 사양 이슈로 목표 달성 불가능 할 경우, HW 데이터 업데이트 주기",,
,COM_005,기상 정보 전달,"gfs 기반으로 기상정보 전달
- 대상 지역 : 한국, 미국(캘리포니아) ",,
,COM_006,태양광 예측 알고리즘,기상정보를 활용한 태양광 예측 알고리즘,,
어드민 회원,ADM_MAN_001,계정생성,"계정 생성. 필요한 만큼 직접 생성
- 아이디, 비밀번호, 닉네임",,
,ADM_MAN_002,비밀번호 초기화,비밀번호 초기화 설정,,
,ADM_MAN_003,로그인 / 로그아웃,"아이디, 비밀번호 로그인, 로그아웃",,
,ADM_MAN_004,비밀번호 신규설정,신규회원 혹은 비밀번호 초기화 이후 최초 로그인 시 비밀번호 설정 후 로그인 필수,,
앱 회원,ADM_MEM_001,회원 생성,"- 닉네임
- 데이터셋 : 데이터셋 or 사용안함
- 거주지역 : Google Map Api 를 활용하여 지역 선택 (위치정보를 바탕으로 기상 정보 연동)
- 아이디, 비밀번호",,
,ADM_MEM_002,데이터셋 DB,데이터셋별 인지용이한 데이터셋명 필요,,
,ADM_MEM_003,회원 사용여부 관리,회원 사용여부 설정 관리 : 사용 Y인 계정만 조회 및 선택 가능,,
,ADM_MEM_004,조회 계정 상태 및 선택,"조회 계정 정보 및 상태 노출
- 닉네임, 아이디, 데이터셋명, 거주지역
- 각 상태를 바탕으로 계정의 상태 표시 (정상, 주위, 위험)
특정 계정을 선택 시 해당 계정의 페이지로 진입하여 데이터 확인 및 설정 가능",,
계정별_실시간 데이터,NOW_001,현재 모드 표현,"현재 설정(작동) 모드
- 모드에 따른 안내사항 제공",,
,NOW_002,현재 상태 및 마지막 업데이트 일시,"각 상태를 바탕으로 계정의 상태 표시 (정상, 주위, 위험)
마지막 업데이트 일시 : 해당 계정의 다양한 항목 중 가장 마지막 업데이트 된 항목 일시",,
,NOW_003,현재 날씨 노출,선택한 지역의 날씨정보 제공,,
,NOW_004,기상악화 대비모드 사용 필요 안내,선택 지역의 기상 특보 API 활용하여 기상악화 대비모드 사용 or 해지 API,,
,NOW_005,"Solar 발전, 방전 상태","태양열 발전, 방전 전력 및 정상 작동여부 표시. ",,
,NOW_007,"Grid 수전, 송전 상태","Grid를 통한 수전, 송전 전력 및 정상 작동여부 표시",,
,NOW_008,"ESS 충전, 방전 상태","ESS 충전, 방전 전력 및 정상 작동여부 표시 (충전중, 방전중, 대기, 충전효율 낮음, 방전효율 낮음)",,
,NOW_009,ESS SoC 표시,"배터리 잔여량, 잔여률(%), 배터리 용량",,
,NOW_010,ESS 예비율 설정값 표시,ESS 예비율 설정값 표시,,
,NOW_011,ESS 활용가능 시간 표시,"현재 보유한 에너지로 현재 모드에서 ESS 단독 사용 시 사용가능 시간 표시
- 시뮬레이션을 통해 계산 필요",,
,NOW_012,ESS 충전완료 예상 시간 표시,"완충까지 남은 시간 표시
예비율 도달까지 남은 시간 표시",,
,NOW_013,"EV 충전, 방전 상태","EV 충전, 방전 전력 및 정상 작동여부 표시 (충전중, 방전중, 대기)
- EV 방전은 현재 스펙상 불가하지만 미래를 고려해 값은 잡아둠",,
,NOW_014,EV 플러그 연결 상태,EV 플러그 연결 상태 표시,,
,NOW_015,EV SoC 표시,"배터리 잔여량, 잔여률(%), 배터리 용량",,
,NOW_016,EV 주행가능 거리 표시,"현재 보유한 에너지로 주행 시 주행가능한 거리 표시
- EV에서 업데이트 받은 데이터 표시",,
,NOW_017,EV 충전완료 예상 시간 표시,완충까지 남은 시간 표시,,
,NOW_018,해당일 예상 데이터,"해당일의 예상 데이터와 현재 달성률 노출
- 발전량 , 사용량, 전략량(수전, 송전)",,
계정별_데이터 조회,DAT_001,Solar 발전 데이터,Solar 발전 데이터,,
,DAT_002,Solar 사용 데이터,"Solar 사용 데이터
- Solar 발전 전력이 사용된 ESS/Home/EV/Grid 전력량과 비중 제공",,
,DAT_003,Solar 발전량 대비 자가소비율,Solar 발전량 대비 사용 비율,,
,DAT_004,Home 사용 데이터,"Home 사용 데이터
- 사용된 Solar/ESS/EV/Grid 전력량과 비중 제공",,
,DAT_005,ESS 충전 데이터,"ESS 충전 데이터
- 사용된 Solar/EV/Grid 전력량과 비중 제공",,
,DAT_006,ESS 방전 데이터,"ESS 방전 데이터
- 공급된 Home/EV 전력량과 비중 제공",,
